,name,club,rank,category,points,id,link
0,יונתן שוסטרמן,מ. בני הרצליה,1,S,1778.3,745,/p/745/יונתן-שוסטרמן
1,מיכאל טאובר,עירוני גבעתיים,2,S,1697.3,853,/p/853/מיכאל-טאובר
2,טל ישראלי,הפועל חיפה,3,E19,1666.4,651,/p/651/טל-ישראלי
3,אביב בן ארי,מכבי זאב זכרון יעקב,4,S,1619.7,524,/p/524/אביב-בן-ארי
4,יניב שרון,הפועל לוד,5,S40,1574.1,882,/p/882/יניב-שרון
5,רון דוידוביץ,הפועל עירוני נוף הגליל,6,S40,1554.5,881,/p/881/רון-דוידוביץ
6,עמרי בן ארי,עירוני גבעתיים,7,S,1533.3,894,/p/894/עמרי-בן-ארי
7,מתן סימון,עירוני גבעתיים,8,S,1526.9,341,/p/341/מתן-סימון
8,איתי אביבי,הפועל חיפה,9,J16,1522.8,2284,/p/2284/איתי-אביבי
9,עמית גורן,הפועל עירוני נוף הגליל,10,E21,1482.7,676,/p/676/עמית-גורן
10,אור בשן,מ. בני הרצליה,11,S,1473.0,865,/p/865/אור-בשן
11,איסק אברמוב,בית''ר ראשון לציון,12,S50,1468.4,874,/p/874/איסק-אברמוב
12,רונאל דוידוב,מכבי דימונה,13,S,1468.0,806,/p/806/רונאל-דוידוב
13,יורי פורמן,הפועל לוד,14,S40,1453.9,888,/p/888/יורי-פורמן
14,גל פרפל,הישגי כרמיאל,15,S,1430.4,741,/p/741/גל-פרפל
15,שמעון רבינוביץ,בית''ר ראשון לציון,16,S40,1412.9,869,/p/869/שמעון-רבינוביץ
16,יניב קרמזין,כרמל מרכזי טניס שולחן חיפה,17,E21,1412.8,685,/p/685/יניב-קרמזין
17,זיו יצחק,כרמל מרכזי טניס שולחן חיפה,18,E21,1399.4,682,/p/682/זיו-יצחק
18,פבל טמנוגורוד,הפועל טנ''ש באר שבע,19,S,1390.6,858,/p/858/פבל-טמנוגורוד
19,אביב עמידור,הפועל ירושלים,20,S,1375.4,130,/p/130/אביב-עמידור
20,עידן אוגורצב,מכבי תל אביב,21,S,1367.8,862,/p/862/עידן-אוגורצב
21,אוהד פניאל,הפועל עירוני נוף הגליל,22,S,1356.1,891,/p/891/אוהד-פניאל
22,איתי שושן,כרמל מרכזי טניס שולחן חיפה,23,J16,1350.0,2625,/p/2625/איתי-שושן
23,אורי אלמור,מכבי זאב זכרון יעקב,24,C15,1347.7,2620,/p/2620/אורי-אלמור
24,אושר אשכנזי,הפועל פתח תקווה,25,S,1322.7,820,/p/820/אושר-אשכנזי
25,גיא קוחלי,כרמל מרכזי טניס שולחן חיפה,26,S,1317.6,684,/p/684/גיא-קוחלי
26,רון דימנט,הישגי כרמיאל,27,S,1279.4,675,/p/675/רון-דימנט
27,ולדי פורמן,הפועל טנ''ש באר שבע,28,S,1276.7,753,/p/753/ולדי-פורמן
28,בן יצחק,מכבי תל אביב,29,J18,1269.8,617,/p/617/בן-יצחק
29,טל טילקין,הישגי כרמיאל,30,E20,1267.8,631,/p/631/טל-טילקין
30,נתנאל אברמוב,בית''ר ראשון לציון,31,C14,1267.2,3181,/p/3181/נתנאל-אברמוב
31,איתמר אברמוב,מכבי זאב זכרון יעקב,32,S,1264.1,801,/p/801/איתמר-אברמוב
32,דניאל קושקרוב,מכבי דימונה,33,J18,1250.5,620,/p/620/דניאל-קושקרוב
33,אלכסנדר קורס,הפועל בת ים,34,S50,1237.3,1453,/p/1453/אלכסנדר-קורס
34,בנצי בלנק,הפועל לוד,35,S40,1236.9,878,/p/878/בנצי-בלנק
35,צחי פרום,מכבי תל אביב,36,S50,1214.9,965,/p/965/צחי-פרום
36,אדיר דניאל,אופק קריית אונו,37,S,1196.9,738,/p/738/אדיר-דניאל
37,נתן סגל,הישגי כרמיאל,38,J18,1195.5,626,/p/626/נתן-סגל
38,עמנואל כהן,הפועל ירושלים,39,J18,1190.1,2809,/p/2809/עמנואל-כהן
39,עידן טרוסמן,אליצור קריית אתא,40,J17,1180.9,624,/p/624/עידן-טרוסמן
40,עודד גרטמן,מכבי תל אביב,41,S50,1163.5,930,/p/930/עודד-גרטמן
41,יניב שפס,הפועל יוקנעם,42,S,1152.3,1867,/p/1867/יניב-שפס
42,שון ברקטוב,מכבי רחובות,43,J18,1152.2,621,/p/621/שון-ברקטוב
43,מתן עולי,מ. בני הרצליה,44,S,1150.4,1945,/p/1945/מתן-עולי
44,שחר כרמון,מכבי תל אביב,45,S,1149.7,1992,/p/1992/שחר-כרמון
45,יונתן קוחלי,כרמל מרכזי טניס שולחן חיפה,46,E19,1136.2,653,/p/653/יונתן-קוחלי
46,רועי ארליך,מכבי תל אביב,47,S40,1127.4,890,/p/890/רועי-ארליך
47,יוני ירמיהו,הפועל לוד,48,S,1127.2,845,/p/845/יוני-ירמיהו
48,שמעון קלברס,הפועל לוד,49,S40,1121.0,1475,/p/1475/שמעון-קלברס
49,דמיטרי אברמנקו,עירוני מעלות תרשיחא,50,S50,1117.6,1591,/p/1591/דמיטרי-אברמנקו
50,דוד אלטרץ,הפועל ירושלים,51,S50,1114.5,107,/p/107/דוד-אלטרץ
51,יוסי בוגן,מכבי תל אביב,52,S60,1106.9,1546,/p/1546/יוסי-בוגן
52,אור שטיין,הפועל ירושלים,53,S,1104.1,126,/p/126/אור-שטיין
53,שחר גילעד,הפועל עירוני צפת,54,S,1103.9,1439,/p/1439/שחר-גילעד
54,יצחק אברמוביץ,הפועל לוד,55,S50,1101.7,1112,/p/1112/יצחק-אברמוביץ
55,נדב רחמים,הפועל רמת ישי,56,S40,1101.5,893,/p/893/נדב-רחמים
56,אושרי זפרן,הפועל גליל תחתון,57,S,1100.5,1172,/p/1172/אושרי-זפרן
57,אדי ישראלי,הפועל חיפה,58,S50,1099.8,892,/p/892/אדי-ישראלי
58,אבנר לוין,מכבי תל אביב,59,S,1089.2,1199,/p/1199/אבנר-לוין
59,אביב הלפרן,הישגי כרמיאל,60,E20,1084.8,657,/p/657/אביב-הלפרן
60,דימיטרי פלאי,הפועל טנ''ש באר שבע,61,S,1082.7,6607,/p/6607/דימיטרי-פלאי
61,גבריאל קלוו,הפועל ירושלים,62,S,1076.7,324,/p/324/גבריאל-קלוו
62,דור רזניק,כרמל מרכזי טניס שולחן חיפה,63,E20,1076.7,652,/p/652/דור-רזניק
63,איתי חננאל,אופק קריית אונו,64,S,1075.4,687,/p/687/איתי-חננאל
64,יעקב בוגן,מכבי תל אביב,65,S60,1074.5,531,/p/531/יעקב-בוגן
65,מארק פולובץ,הישגי כרמיאל,66,J17,1072.2,2012,/p/2012/מארק-פולובץ
66,עידו בן שימחון,טנ''ש 2007 נתניה,67,S,1071.2,1611,/p/1611/עידו-בן-שימחון
67,שחר גינסברג,מכבי רחובות,68,S,1070.8,884,/p/884/שחר-גינסברג
68,גאורגי טוניאן,מכבי גבירול באר שבע,69,S40,1069.4,1205,/p/1205/גאורגי-טוניאן
69,בן סורוקין,הפועל ירושלים,70,S,1065.7,144,/p/144/בן-סורוקין
70,טל מיטרני,"מ. טנ""ש ויקטור נתניה",71,S50,1061.7,1660,/p/1660/טל-מיטרני
71,אסף חננאל,אופק קריית אונו,72,J16,1059.5,3082,/p/3082/אסף-חננאל
72,גיל אביבי,הפועל חיפה,73,S40,1052.6,507,/p/507/גיל-אביבי
73,עידו אטקין,עירוני גבעתיים,74,E21,1050.5,705,/p/705/עידו-אטקין
74,ציגי דיקשטיין,עירוני גבעתיים,75,S50,1048.9,970,/p/970/ציגי-דיקשטיין
75,אלעד אברויה,הפועל אשדוד,76,S40,1047.8,935,/p/935/אלעד-אברויה
76,נדב דהן,הפועל חיפה,77,S,1045.8,1844,/p/1844/נדב-דהן
77,נבו ברימברג,הפועל אשקלון,78,S,1044.0,1260,/p/1260/נבו-ברימברג
78,אמנון בן-שחר,מ. בני הרצליה,79,S50,1042.9,2596,/p/2596/אמנון-בן-שחר
79,עידן לוי,מכבי תל אביב,80,S50,1039.2,2491,/p/2491/עידן-לוי
80,רם שר,בית''ר באר שבע,81,S40,1036.1,934,/p/934/רם-שר
81,מתן מן,הפועל טנ''ש באר שבע,82,S,1032.4,1392,/p/1392/מתן-מן
82,יונתן שיפמן,מכבי תל אביב,83,S,1031.8,901,/p/901/יונתן-שיפמן
83,שי רוטברת,מכבי דימונה,84,S,1030.9,798,/p/798/שי-רוטברת
84,יבגני ריזוב,טנש ירושלים,85,S,1028.5,2889,/p/2889/יבגני-ריזוב
85,יבגני ספוזניקוב,מכבי שהם,86,S,1027.5,523,/p/523/יבגני-ספוזניקוב
86,דן סולודר,הפועל לוד,87,S,1024.6,752,/p/752/דן-סולודר
87,סמיון גנדלר,מכבי גבירול באר שבע,88,S40,1012.2,908,/p/908/סמיון-גנדלר
88,עמרי מרכוס,אופק קריית אונו,89,S,1009.3,825,/p/825/עמרי-מרכוס
89,יובל נוטנקו,הישגי כרמיאל,90,S,1007.8,817,/p/817/יובל-נוטנקו
90,יעקב שי,בית''ר באר שבע,91,S,1006.3,841,/p/841/יעקב-שי
91,בן הורנשטיין,עירוני גבעתיים,92,C15,1002.1,2964,/p/2964/בן-הורנשטיין
92,עידו רוזנבאום,מכבי זאב זכרון יעקב,93,S,991.6,870,/p/870/עידו-רוזנבאום
93,אריאל שפירא,טניס שולחן חיפה,94,S40,986.6,532,/p/532/אריאל-שפירא
94,אליה זבולוני,אופק קריית אונו,95,E20,981.1,4523,/p/4523/אליה-זבולוני
95,בן בכר,הישגי כרמיאל,96,E19,979.1,2285,/p/2285/בן-בכר
96,חנוך לנר,הפועל באר טוביה,97,S40,977.9,1370,/p/1370/חנוך-לנר
97,אור מגן,הפועל פתח תקווה,98,C14,974.9,6771,/p/6771/אור-מגן
98,דובי פורטנוי,מכבי תל אביב,99,S40,972.4,876,/p/876/דובי-פורטנוי
99,בוריס קושניר,טנ''ש נס ציונה,100,S50,971.5,972,/p/972/בוריס-קושניר
100,יניב יאכלביץ,עירוני גבעתיים,101,S,969.1,5546,/p/5546/יניב-יאכלביץ
101,חביב בן דוד,בית''ר באר שבע,102,S,968.9,1204,/p/1204/חביב-בן-דוד
102,אדם נג'יר,מ. בני הרצליה,103,S,968.8,6604,/p/6604/אדם-נג-יר
103,רון אוישר,הפועל טנ''ש באר שבע,104,E19,968.4,635,/p/635/רון-אוישר
104,שימי אסרף,הפועל חיפה,105,S,964.8,926,/p/926/שימי-אסרף
105,אדר שקד,הפועל לוד,106,S,954.0,857,/p/857/אדר-שקד
106,פיליפ קושנר,מכבי גבירול באר שבע,107,S,953.1,2387,/p/2387/פיליפ-קושנר
107,דוד גולן,מכבי הישגים ראשון לציון,108,S40,952.0,922,/p/922/דוד-גולן
108,דניאל זהר,אופק קריית אונו,109,S,951.3,2028,/p/2028/דניאל-זהר
109,רביד ברנדמן,אופק קריית אונו,110,S40,947.8,3833,/p/3833/רביד-ברנדמן
110,יניב בלנק,בית''ר רמלה,111,S,946.3,929,/p/929/יניב-בלנק
111,דני ליבשיץ,הפועל ירושלים,112,S,944.9,293,/p/293/דני-ליבשיץ
112,איגור סלבין,הפועל אשקלון,113,S40,944.7,1907,/p/1907/איגור-סלבין
113,דן זוילי,הפועל לוד,114,J18,944.6,2229,/p/2229/דן-זוילי
114,יוסי רוזנבלט,הפועל אשדוד,115,S60,941.7,998,/p/998/יוסי-רוזנבלט
115,איגור גולדברג,הפועל בת ים,116,S50,941.1,1359,/p/1359/איגור-גולדברג
116,נחום שמיס,הפועל חיפה,117,S60,939.1,987,/p/987/נחום-שמיס
117,יבגני ברבוי,הפועל טנ''ש באר שבע,118,S40,939.0,1408,/p/1408/יבגני-ברבוי
118,אדם בלנק,בית''ר רמלה,119,S,935.6,895,/p/895/אדם-בלנק
119,רן מנשה,טנ''ש 2007 נתניה,120,S40,932.6,1937,/p/1937/רן-מנשה
120,ניר רחליס,הפועל גליל תחתון,121,E21,929.2,2292,/p/2292/ניר-רחליס
121,יוסף אזולאי,הפועל בת ים,122,S60,923.4,2846,/p/2846/יוסף-אזולאי
122,ארז זכריה,מ. בני הרצליה,123,S,922.9,921,/p/921/ארז-זכריה
123,אלכסנדר לוין,הפועל חיפה,124,S,921.0,1264,/p/1264/אלכסנדר-לוין
124,רועי רוזנבלט,הפועל אשדוד,125,S,920.0,903,/p/903/רועי-רוזנבלט
125,אופק ביתן,בית''ר ראשון לציון,126,C15,919.7,4191,/p/4191/אופק-ביתן
126,דור בן-חורין,מכבי שהם,127,S,919.3,887,/p/887/דור-בן-חורין
127,תומר נעמה,עירוני גבעתיים,128,J17,917.3,2952,/p/2952/תומר-נעמה
128,אמיר רובינשטיין,הפועל לוד,129,S,914.4,3675,/p/3675/אמיר-רובינשטיין
129,ניר יעקובי,מ. בני הרצליה,130,S40,913.1,1373,/p/1373/ניר-יעקובי
130,יפים גורביץ,הפועל טנ''ש באר שבע,131,S60,912.4,989,/p/989/יפים-גורביץ
131,גלעד אקסלרוד,אופק קריית אונו,132,S40,907.2,3088,/p/3088/גלעד-אקסלרוד
132,מקסים גולדין,כרמל מרכזי טניס שולחן חיפה,133,J18,905.8,6601,/p/6601/מקסים-גולדין
133,אלכסנדר סליטרניק,הפועל טנ''ש באר שבע,134,S40,901.9,1511,/p/1511/אלכסנדר-סליטרניק
134,אלכס קורנברג,הפועל טנ''ש באר שבע,135,S50,899.0,974,/p/974/אלכס-קורנברג
135,יהודה דרור,מ. בני הרצליה,136,S40,896.3,1693,/p/1693/יהודה-דרור
136,אפי גילקרוב,הפועל חולון,137,S,893.4,2639,/p/2639/אפי-גילקרוב
137,מתן כהן,מ. בני הרצליה,138,S,891.8,830,/p/830/מתן-כהן
138,בנימין שניידר,מכבי תל אביב,139,S60,891.4,2847,/p/2847/בנימין-שניידר
139,דמיטרי אסקוטסקי,מ.ק.מתנ''ס קריית גת,140,S60,889.7,991,/p/991/דמיטרי-אסקוטסקי
140,אביב וייג,הפועל רמת ישי,141,S,882.5,6371,/p/6371/אביב-וייג
141,רוני רמסניק,הפועל אשקלון,142,S,881.4,915,/p/915/רוני-רמסניק
142,ארטיום קרביץ,בית''ר רמלה,143,S,879.9,5529,/p/5529/ארטיום-קרביץ
143,אנטולי לוינשטיין,הפועל רמת ישי,144,S40,878.2,943,/p/943/אנטולי-לוינשטיין
144,אלון לב,מכבי כוכב יאיר - צור יגאל,145,S40,875.0,949,/p/949/אלון-לב
145,גיא בלוך,מכבי שהם,146,S50,874.7,902,/p/902/גיא-בלוך
146,עמית בן-עמי,אופק קריית אונו,147,J16,874.4,2830,/p/2830/עמית-בן-עמי
147,זאב סהר,הפועל עירוני נוף הגליל,148,S50,873.2,2644,/p/2644/זאב-סהר
148,סטניסלב בוייקנר,מכבי זאב זכרון יעקב,149,S50,873.0,1735,/p/1735/סטניסלב-בוייקנר
149,יובל תגר,עירוני גבעתיים,150,S,872.7,886,/p/886/יובל-תגר
150,גנאדי גרינברג,מ. בני הרצליה,151,S70,872.0,995,/p/995/גנאדי-גרינברג
151,עופר קלטש,עמותת קריית מוצקין,152,S50,871.5,1939,/p/1939/עופר-קלטש
